name,affiliation,orig_affiliation,revenue,employees
Mr Yun Gyeong Na,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr William A. Osborn,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Michael F. Roman,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Daniel J. Starks,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr John G. Stratton,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr David Allan Teitel,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Glenn F. Tilton,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Gregory Arthur Ahlberg,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Hubert Lionel Allen,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Christopher J. Calamari,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Dr. John Michael Capek,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Michael Donald Dale,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Ms Lisa D. Earnhardt,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Robert Emmett Funck JR,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr John Frederick Ginascol,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Joseph Scott House,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Sammy George Karam,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Joseph Justin Manning,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Fernando Mateus,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Ms Mary K. Moreland,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Louis H. Morrone,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Michael J. Pederson,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Daniel Gesua Salvadori,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Ms Julie L Tyler,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Ms Andrea F. Wainer,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Jared L. Watkin,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Alejandro D Wellisch,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Mr Randel William Woodgrift,ABBOTT LABORATORIES,"ABBOTT DIAGNOSTICS KOREA CO.,LTD (GUO: ABBOTT LABORATORIES)",450240.930929381,NA
Ms Pauline F Mohr,DSM-FIRMENICH AG,MARTEK BIOSCIENCES CORP (GUO: DSM-FIRMENICH AG),450023,592
Mr John Ramsay,DSM-FIRMENICH AG,MARTEK BIOSCIENCES CORP (GUO: DSM-FIRMENICH AG),450023,592
Mr Atef Helmy Eltoukhy,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Ian T. Clark,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Vijaya Venkata Gadde,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Meghan V. Joyce,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Samir Kaul,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Steve Edward Krognes,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Myrtle Stephens Potter,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Dr. Amirali H Talasaz,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Musa Tariq,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Michael Brian Bell,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Darya Chudova,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Ines Dahne-Steuber,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Dr. Craig Eagle,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Christopher Freeman,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Jennifer Higgins,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Kumud Kalia,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Amelia Merrill,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr Darl Moreland,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Mr John Gomes Saia,"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.",449538,1793
Ms Matangi Gowrishankar,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,449183.212761395,NA
Mr Kewal Kundanlal Handa,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,449183.212761395,NA
Mr Sandeep Jain,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,449183.212761395,NA
Mr Sanjeev Jain,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,449183.212761395,NA
Mr Basant Kumar Singh,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,449183.212761395,NA
Dr Amit Varma,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,449183.212761395,NA
Cm Botha,ASPEN PHARMACARE HOLDINGS LIMITED,ASPEN OSS B.V. (GUO: ASPEN PHARMACARE HOLDINGS LIMITED),448981.132893324,705
Mr Chris Mynhard Botha,ASPEN PHARMACARE HOLDINGS LIMITED,ASPEN OSS B.V. (GUO: ASPEN PHARMACARE HOLDINGS LIMITED),448981.132893324,705
Mh Broecks,ASPEN PHARMACARE HOLDINGS LIMITED,ASPEN OSS B.V. (GUO: ASPEN PHARMACARE HOLDINGS LIMITED),448981.132893324,705
Mr Marcel Hendrikus Broecks,ASPEN PHARMACARE HOLDINGS LIMITED,ASPEN OSS B.V. (GUO: ASPEN PHARMACARE HOLDINGS LIMITED),448981.132893324,705
Rajiv Kumar Grover,ASPEN PHARMACARE HOLDINGS LIMITED,ASPEN OSS B.V. (GUO: ASPEN PHARMACARE HOLDINGS LIMITED),448981.132893324,705
Rk Grover,ASPEN PHARMACARE HOLDINGS LIMITED,ASPEN OSS B.V. (GUO: ASPEN PHARMACARE HOLDINGS LIMITED),448981.132893324,705
Mr Arun Kumar Pillai,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Homi Rustam Khusrokhan,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Badree Komandur,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Dr. Kausalya Santhanam,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Bharat Dhirajlal Shah,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Huf Subramaniam Sridhar,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Srinivasan Sridhar,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Deepak Calian Vaidya,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Christoph Funke,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Umesh Pralhadrao Kale,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,448616.662555523,2209
Mr Dimitrios Giannakopoulos,GIANNAKOPOULOS FAMILY,VIANEX S.A. PHARMACEUTICAL MANUFACTURERS (GUO: GIANNAKOPOULOS FAMILY),447717.232567843,NA
Mr Konstantinos Panagoulias,GIANNAKOPOULOS FAMILY,VIANEX S.A. PHARMACEUTICAL MANUFACTURERS (GUO: GIANNAKOPOULOS FAMILY),447717.232567843,NA
Dipl.-Oekonom Thomas Bernhard Jorberg,WELEDA AG,WELEDA AG,445055.702067614,2456
Mr Ulrich Hurter,WELEDA AG,WELEDA AG,445055.702067614,2456
Dr. Andreas Sebastian Jaeschke,WELEDA AG,WELEDA AG,445055.702067614,2456
Dr. Medezin Harald Matthes,WELEDA AG,WELEDA AG,445055.702067614,2456
Ms Elfriede Seiler,WELEDA AG,WELEDA AG,445055.702067614,2456
Mr Qingcai Chen,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Jun Zhao,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Ms Xiaowei Zhao,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Qiong Fu,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Ms Min Pan,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Weirong Ren,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Ruilin Song,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Youyin Xu,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Jianyi Zhang,"JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.","JIANGSU AOSAIKANG PHARMACEUTICAL CO., LTD.",444767.990331352,812
Mr Jin Hu,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Jiman Zhu,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Dongxu Wang,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Xiuqiang Diao,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Qi Dong,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Leifeng Guo,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Zuozhe Ji,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Minghui Jiang,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Guochun Li,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Yueyin Liu,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Min Pan,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Ruihua Wang,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Xiaoge Xu,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Hui Xue,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Hongbing Yang,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Ms Huarong Yang,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Ms Xiaodan Zhang,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Zhongqiu Zhao,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Kang Zhou,"HARBIN GLORIA PHARMACEUTICALS CO., LTD","HARBIN GLORIA PHARMACEUTICALS CO., LTD",442878.902625084,3507
Mr Robert Norman Neville,SAVARA INC,SAVARA INC,442000,28
Mr Matthew Rudolph Pauls,SAVARA INC,SAVARA INC,442000,28
Mr Nevan Charles Elam,SAVARA INC,SAVARA INC,442000,28
Mr Richard J. Hawkins,SAVARA INC,SAVARA INC,442000,28
Dr. Joseph S. McCracken,SAVARA INC,SAVARA INC,442000,28
Dr. Ricky Sun,SAVARA INC,SAVARA INC,442000,28
Mr Wenchen Zhu,"FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.","FUREN PHARMACEUTICAL GROUP CO., LTD. (GUO: FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.)",441582.935573459,1435
Mr Chenggong Zhu,"FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.","FUREN PHARMACEUTICAL GROUP CO., LTD. (GUO: FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.)",441582.935573459,1435
Mr Wenliang Zhu,"FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.","FUREN PHARMACEUTICAL GROUP CO., LTD. (GUO: FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.)",441582.935573459,1435
Mr Wenyu Zhu,"FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.","FUREN PHARMACEUTICAL GROUP CO., LTD. (GUO: FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.)",441582.935573459,1435
Ms Jingsheng Zhu,"FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.","FUREN PHARMACEUTICAL GROUP CO., LTD. (GUO: FUREN TECHNOLOGY HOLDINGS (BEIJING) GROUP CO., LTD.)",441582.935573459,1435
Mr Yiu Kwan Stanley Lau,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Satyanarayana Murthy Chavali,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Qiyu Chen,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Yao Fang,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Xiaohui Guan,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Ms Naina Lal Kidwai,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Srinivas Sadu,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Essaji Goolam Vahanvati,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Do Johannes Vcllcr,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Udo Jahannes Vetter,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Yifang Wu,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Frank Yao,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Dr. Jia Ai Allen Zhang,MRS GUANGCHANG GUO,GLAND PHARMA LTD (GUO: MRS GUANGCHANG GUO),440986.479201093,4585
Mr Carlo Pizzocaro,MR CARLO PIZZOCARO,FIDIA FARMACEUTICI S.P.A. (GUO: MR CARLO PIZZOCARO),439790.96699357,1446
Ms Claudia Adreani,MR CARLO PIZZOCARO,FIDIA FARMACEUTICI S.P.A. (GUO: MR CARLO PIZZOCARO),439790.96699357,1446
Mr Giovanni Angela,MR CARLO PIZZOCARO,FIDIA FARMACEUTICI S.P.A. (GUO: MR CARLO PIZZOCARO),439790.96699357,1446
Mr Francesco Pizzocaro,MR CARLO PIZZOCARO,FIDIA FARMACEUTICI S.P.A. (GUO: MR CARLO PIZZOCARO),439790.96699357,1446
Mr Paolo Rossi,MR CARLO PIZZOCARO,FIDIA FARMACEUTICI S.P.A. (GUO: MR CARLO PIZZOCARO),439790.96699357,1446
Mr Zhenxin Du,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Ms Hong Cai,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Yanzhen Han,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Liushan Hao,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Ms Xiulian Lu,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Xinsheng Sun,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Fuqing Wang,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Xinbing Xu,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Hong Zhang,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Mr Xianglin Zhang,"CISEN PHARMACEUTICAL CO.,LTD.","CISEN PHARMACEUTICAL CO.,LTD.",439483.824908793,NA
Ms Wendy Morren,SANOFI,GENZYME FLANDERS (GUO: SANOFI),438868.377635018,863
Mr Pieter Wester Oldenziel,SANOFI,GENZYME FLANDERS (GUO: SANOFI),438868.377635018,863
Mr Jeffrey S. Aronin,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,438000,200
Mr Peter Anastasiou,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Dr. Jeffrey M. Dayno,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Mr Antonio J Gracias,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Mr R. Mark Graf,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Mr John C. Jacobs,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Mr Jack Bech Nielsen,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Mr Juan A. Sabater,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Mr Gary L Sender,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Ms Linda M Szyper,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Dr. Andreas Wicki,HARMONY BIOSCIENCES HOLDINGS INC,HARMONY BIOSCIENCES HOLDINGS INC,437855,200
Chong Meng Chai,LONZA GROUP AG,LONZA BIOLOGICS TUAS PTE. LTD. (GUO: LONZA GROUP AG),436809.202806539,NA
Teo Kui Lian,LONZA GROUP AG,LONZA BIOLOGICS TUAS PTE. LTD. (GUO: LONZA GROUP AG),436809.202806539,NA
Dr James Charles Burt,TRITON FUND V L.P.,ATNAHS PHARMA UK LIMITED (GUO: TRITON FUND V L.P.),436615.1565485,270
Dr Amit Vijaykumar Patel,TRITON FUND V L.P.,ATNAHS PHARMA UK LIMITED (GUO: TRITON FUND V L.P.),436615.1565485,270
Ms Neeshe Bhikhubhai Williams,TRITON FUND V L.P.,ATNAHS PHARMA UK LIMITED (GUO: TRITON FUND V L.P.),436615.1565485,270
Ms Haiyan Cao,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Mr Luxiang Liu,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Bin Hu,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Weijun Li,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Guotan Lin,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Ms Xiaozhen Lin,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Mr Yimin Wang,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Mr Jiandong Zhao,"JILIN SIZHANG PHARMACEUTICAL CO., LTD.","JILIN SIZHANG PHARMACEUTICAL CO., LTD.",436527.222472876,360
Mr Peter Vance Allen,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Ms Mara Glickman Aspinall,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Michael Shaun Baldock,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Christopher Matthew Bouda,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Mark Christopher Capone,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Ms Sally Wellinghoff Crawford,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Luba Greenwood,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Alan Thomas Hirzel,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Giles Francis Bertram Kerr,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Ms Bessie Lee,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Ms Ling Chien Lee,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Frank Talbott Mcfaden,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Mr Phillip Bernard Whitehead,DANAHER CORP,ABCAM LIMITED (GUO: DANAHER CORP),436499.424850941,NA
Ms Ying Jiang,MRS YING JIANG,"SICHUAN DAQIAN PHARMACEUTICAL CO., LTD. (GUO: MRS YING JIANG)",434887.902276918,1829
Mr Peichun Yao,HALEON PLC,TIANJIN SMITH KLINE &FRENCH LABORATORLES LTD. (GUO: HALEON PLC),433743.564841747,336
Mr Zhenguo Li,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
Jinfeng Bao,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
Mr Yansong Gao,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
Mr Jinsong Li,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
Chunfeng Liu,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
Mr Guochao Liu,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
Mr Zhuotang Ma,"JIUZHITANG CO.,LTD.","JIUZHITANG CO.,LTD.",433268.252711236,3416
